id,label,username,name,type,tweet_count,in_degree,out_degree,weighted_in_degree,weighted_out_degree,years,score
289228483,@mikihoyos,mikihoyos,Miguel Angel Martín,user,34,120,94,231,270,2015:2|2016:20|2018:12,603
7936692,@estela_goiko,estela_goiko,Estela Goikoetxea💢🔻🇵🇸,user,40,117,116,254,226,2014:4|2015:18|2016:7|2017:7|2018:3|2019:1,600
378525757,@pedro_casares,pedro_casares,Pedro Casares,user,23,194,96,304,215,2015:2|2016:5|2017:16,588
237223544,@elisabeni,elisabeni,Elisa Beni,user,74,76,95,134,225,2013:41|2014:1|2015:1|2016:1|2017:1|2018:16|2019:13,581
905876054052614150,@MAracelicarrasc,MAracelicarrasc,Maria AraceliCarrasc,user,29,16,74,62,421,2017:29,570
782598426022252545,@Militantes_PSOE,Militantes_PSOE,🇺🇦MilitanteSocialista/❤️,user,12,182,62,406,125,2017:4|2018:8,567
183005777,@acuario_venus,acuario_venus,Pepita Garcia Rodríguez/🌹❤️,user,42,19,120,23,413,2016:8|2017:18|2018:10|2019:6,562
362354011,@marianalvarezma,marianalvarezma,Marian Álvarez ❤️💛💜💜💜,user,30,32,138,70,395,2018:21|2019:9,555
753617536915300352,@MribelReal2,MribelReal2,Maribel,user,19,19,72,54,435,2018:14|2019:5,546
2585222520,@DorCabrejas,DorCabrejas,Dor Cabrejas/ ♥️🍊,user,21,135,71,308,161,2016:8|2017:3|2018:4|2019:6,532
1103730410,1103730410,,,derived,0,83,0,531,0,,531
276587164,@jesusfranco87,jesusfranco87,Jesús Franco Gómez/❤,user,7,211,43,448,60,2015:1|2016:5|2017:1,529
312181000,@MarCostaDB,MarCostaDB,Mar Costa Carmona 💜,user,17,90,90,258,218,2016:4|2017:3|2018:7|2019:3,527
85131627,@ciktricstrans,ciktricstrans,Krme #AbolicionProstitución🦖♀️🦖,user,29,35,146,86,349,2015:2|2018:23|2019:4,522
327529852,@Cuetano68,Cuetano68,Marqués de Cueto - Santander,user,27,11,79,31,395,2017:9|2018:18,507
21361705,@JoseantonioJun,JoseantonioJun,Jose Antonio Rodríguez Salas ,user,13,153,17,409,51,2011:2|2012:8|2013:3,499
273363190,@LiciniaM,LiciniaM,Licinia M.Muñiz,user,33,32,55,224,176,2014:20|2015:8|2016:3|2017:1|2018:1,499
120772746,@manuraortiz,manuraortiz,мαηυ / ❤️ 🔻,user,39,87,90,197,184,2017:1|2018:17|2019:21,498
1351396117,@RAFAELLEALSALAZ,RAFAELLEALSALAZ,RAFAEL LEAL SALAZAR/❤️,user,20,115,68,295,140,2016:11|2017:3|2018:3|2019:3,495
299651711,@ortiztomas,ortiztomas,Tomás Ortiz,user,43,34,95,97,267,2014:16|2015:3|2016:7|2017:14|2018:2|2019:1,493
389332697,389332697,,,derived,0,73,0,493,0,,493
1606063765,@MaruxaHevia,MaruxaHevia,María Hevia,user,46,22,65,71,279,2015:42|2016:2|2019:2,488
136085543,@AurelioBelandoM,AurelioBelandoM,Aurelio M. Belando M,user,44,7,138,7,347,2015:7|2016:37,486
44337911,@Insistir,Insistir,Julia,user,8,45,27,332,117,2019:8,473
848046817,@3Boanerges,3Boanerges,Eladio Enrique,user,6,45,49,351,100,2019:6,469
4159860569,@noe__info,noe__info,⚖🇪🇺 🇪🇸 👉 N. O. E. 👈 🇪🇸 🇪🇺⚖,user,18,5,103,24,391,2018:18,469
429486609,@KarenNax,KarenNax,Nax Lozano 🌹,user,18,105,109,204,194,2016:15|2018:3,452
1040128981,@ColladoNando,ColladoNando,Viking Plus,user,52,28,46,38,254,2014:6|2015:39|2016:1|2017:5|2018:1,448
272647464,272647464,,,derived,0,48,0,448,0,,448
385066381,@silvisaes,silvisaes,Silvia Abascal,user,27,76,83,173,190,2014:2|2015:17|2016:6|2017:1|2018:1,444
243139600,@crispmarcote,crispmarcote,ℂ𝕣𝕚𝕤𝕥𝕚𝕟𝕒 ℙ. 𝕄𝕒𝕣𝕔𝕠𝕥𝕖,user,45,24,141,33,270,2014:11|2015:20|2016:13|2017:1,438
795767129547173888,795767129547173888,,,derived,0,35,0,431,0,,431
854072614607826950,@Karma13355592,Karma13355592,Karma/ ♥️🕊💜,user,21,41,121,94,268,2017:2|2018:15|2019:4,425
138981161,@luquelalu,luquelalu,Raquel S.Folch/♥️,user,27,126,59,199,118,2015:8|2016:9|2017:2|2018:6|2019:2,398
844865055514542080,844865055514542080,,,derived,0,31,0,388,0,,388
195460541,@raulsanto,raulsanto,raul santos,user,17,29,51,210,121,2014:5|2015:1|2016:9|2017:1|2019:1,382
3042094893,3042094893,,,derived,0,37,0,380,0,,380
326912627,@NuriaCSopena,NuriaCSopena,Nuria Coronado,user,14,68,82,155,170,2016:2|2018:2|2019:10,367
13346352,@BeatrizTalegon,BeatrizTalegon,Bea Talegón,user,54,17,37,24,178,2013:17|2014:35|2015:2,364
798559739114323969,@SocialistasC,SocialistasC,Socialistas #CUENCA,user,17,84,59,166,146,2017:3|2018:11|2019:3,363
307807668,307807668,,,derived,0,125,0,357,0,,357
837012207888117760,837012207888117760,,,derived,0,140,0,355,0,,355
735585710,@manuRF41,manuRF41,Manuel R.F. 🌹🚂,user,16,15,32,58,248,2019:16,354
